created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Oct 20 10:13:04 +0000 2023;1715310154210771279;"🌟 RESULT SUNDA 🌟 HARI: JUMAT, 20 OKTOBER 2023 RESULT : 1862 SHIO : Harimau SELAMAT KEPADA PEMENANG, SALAM JP FLOKITOTO https://t.co/3mU1uQRgys";0;0;0;0;in;1492762132186034180;1715310154210771279;flokitoto1;https://twitter.com/flokitoto1/status/1715310154210771279
Fri Oct 20 10:11:35 +0000 2023;1715309782540972404;"AGEN SLOT GACOR HARI INI ASTABET  Jepri Asahi Partai Golkar Hujan Karen Galaxy S23 FE NA JAEMIN THANK YOU Brownies Sukuna Mendung chansoo MVnya Publish https://t.co/hw1xnbIvlF";0;0;0;0;in;1683954066;1715309782540972404;PastiGacorSlur;https://twitter.com/PastiGacorSlur/status/1715309782540972404
Fri Oct 20 10:02:28 +0000 2023;1715307488038596630;"🌟 RESULT LAMPUNG 🌟 HARI: JUMAT, 20 OKTOBER 2023 RESULT : 7595 SHIO : Ular SELAMAT KEPADA PEMENANG, SALAM JP FLOKITOTO https://t.co/owl6AHUGsv";0;0;0;0;in;1492762132186034180;1715307488038596630;flokitoto1;https://twitter.com/flokitoto1/status/1715307488038596630
Fri Oct 20 10:02:15 +0000 2023;1715307430748254674;"Masih banyak yg maen judi slot online";0;0;0;0;in;1668112193861353474;1715307430748254674;yakobusekos9;https://twitter.com/yakobusekos9/status/1715307430748254674
Fri Oct 20 09:54:00 +0000 2023;1715305358254862343;"@UnfaedahKeras 🔥🔥🔥";0;0;0;0;qme;1698667564329758720;1715296372138950913;judislotbola;https://twitter.com/judislotbola/status/1715305358254862343
Fri Oct 20 09:45:05 +0000 2023;1715303110883860893;"@helmy___ Vahaya judi slot ini, dah kaya hama ajg";0;0;0;0;in;1308801226415329281;1715251604923032048;Labolonk4;https://twitter.com/Labolonk4/status/1715303110883860893
Fri Oct 20 09:44:28 +0000 2023;1715302956734751093;"RESULT SURABAYA POOLS JUMAT, 20 OKT 2023 Result : 4 5 2 9 Shio : BABI Whatsapp : +62 813-9923-4967 Selamat Bagi yg JackPot ⚡Salam POKEMONTOTO⚡ #keluaransurabayapoolspools #resultsurabayapoolspools #qrispokemontoto #pokemontoto #angkasurabayapoolspools #Brownies https://t.co/o7J11SG0pE";0;0;0;0;in;1551243672431501312;1715302956734751093;datatogelwla;https://twitter.com/datatogelwla/status/1715302956734751093
Fri Oct 20 09:35:06 +0000 2023;1715300601150799899;"Keluaran Togel Mali, 20 Oktober 2023 Result : 0693 Shio : Kambing Selamat Kepada Member yang mendapatkan Jackpot, Salam jackpot Paus";0;0;0;0;in;1648257762865074176;1715300601150799899;fyp4dofficial;https://twitter.com/fyp4dofficial/status/1715300601150799899
Fri Oct 20 09:32:49 +0000 2023;1715300025125982686;"🌟 RESULT SURABAYA 🌟 HARI: JUMAT, 20 OKTOBER 2023 RESULT : 4529 SHIO : Babi SELAMAT KEPADA PEMENANG, SALAM JP FLOKITOTO https://t.co/aPiO6KZDX3";0;0;0;0;in;1492762132186034180;1715300025125982686;flokitoto1;https://twitter.com/flokitoto1/status/1715300025125982686
Fri Oct 20 09:30:50 +0000 2023;1715299527132074249;"INFO POLA SLOT GACOR HARI INI DI #BET2SLOT 20 OCT 2023 JAM 10.00 - 19.00  FRUIT PARTY : 97.3% MANUAL 20x ❌✅❌ AUTO 50x ✅❌✅ AUTO 20x ✅✅❌ MANUAL 10x ❌✅✅ DOUBLE CHANGE : OFF  LINK DAFTAR DI BIO, GAS SEKARANG‼️ Sukuna Jepri #IsraelTerorrist Jumat Gempa Publish #Slot https://t.co/ImlsinFnTi";0;0;0;0;in;865871022263681025;1715299527132074249;situsjudisbobet;https://twitter.com/situsjudisbobet/status/1715299527132074249
